study_ID,title,topic,topic2,year,authors,phenotype,Notes,Mean,Min mean,Max mean,Among_SD,Within nest,test,difference,Lat,Long,Major.group,Group,Group3,Group2,Back,Water,Genus,Species,Animal,Name,Order,family
193,"Nesting Ecology of West African Dwarf Crocodiles in a Heavily Disturbed Landscape in Chirehin, Ghana",Breeding ecology,General ecology,2021,"Amoah, E., Danquah, E., Perran Ross, J.",y,,30.7,,,0.8,,,,7.8715759,-1.7003408,Reptile,1. Crocodilian,1. Crocodilian,Crocodilian,Vertebrate,Land,Osteolaemus,tetraspis,Osteolaemus_tetraspis,,,
182,"Nest temperature assessment in an American crocodile (Crocodylus acutus) population on the central coast of Oaxaca, Mexico",Nest environment,Thermoregulation,2021,"Lara, RB and Grajales, JG and Ramirez, EM ",y,,32.67,30.06,34.66,1.45,,,,15.80413,-97.000607,Reptile,1. Crocodilian,1. Crocodilian,Crocodilian,Vertebrate,Land,Crocodylus,acutus,Crocodylus_acutus,,,
46,Microclimatic conditions in nests of the Cuban iguana (Cyclura nubila),Nest environment,Thermoregulation,1991,"Christian, KA and Lawrence, WT",n,After 80 days of incubation eggs were brought into the lab to hatch,32.2,30.5,33.5,0.87,,,,17.9694047,-67.0437286,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Cyclura,nubila,Cyclura_nubila,,,
38,Maternal manipulation of offspring phenotypes via nest-site selection in an oviparous lizard,Nest site selection,Evolution,1996,"Shine, R and Harlow",n,"Part lab experiment, just compared natural temps",20.7,17.3,24.4,,,,,-35.417085,148.783591,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,bassiana,duperreyi,Bassiana_duperreyi,,,
55,Analysis of the nest environment of tuatara Sphenodon punctatus,Nest environment,Thermoregulation,1996,"Thompson, MB and Packard, GC and Packard, MJ and Rose, B",y,Not sure about temp frequency,18.2,16.3,19.9,0.89,,,,-9.5069444,143.545,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Sphenodon,punctatus,Sphenodon_punctatus,,,
36,The influence of natural incubation environments on the phenotypic traits of hatchling lizards,Offspring phenotype,Evolution,1997,"Shine, R and Elphick, MJ and Harlow, PS ",y,"Half of the clutch was moved to another nest - so half eggs were from another mother/nest, eggs were also put in a stocking. All eggs were then removed and taken to the lab around the time they thought they should be hatching.",18.45,16.8,20.1,,,,,-35.35,148.83333,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Bassiana,duperreyi,Bassiana_duperreyi,,,
54,Evolution of viviparity in squamate reptiles (Sceloporus spp.): a variant of the cold-climate model,Viviparity,Evolution,2000,"Andrews, RM ",n,S. Anaeus,20.8,,,,,,,31.929192,-109.383057,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Sceloporus,anaeus,Sceloporus_ornatus,,,
54,Evolution of viviparity in squamate reptiles (Sceloporus spp.): a variant of the cold-climate model,Viviparity,Evolution,2000,"Andrews, RM ",n,S. Virgatus,25.2,,,,,,,31.929192,-109.383057,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Sceloporus,virgatus,Sceloporus_virgatus,,,
31,Reproductive ecology of the jacky dragon (Amphibolurus muricatus): an agamid lizard with temperature-dependent sex determination,Breeding ecology,General ecology,2000,"Harlow, PS and Taylor, JE ",y,,25.7,23.7,27.3,1.49,,,,-32.463489,152.289566,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Amphibolurus,muricatus,Amphibolurus_muricatus,,,
48,Nest temperatures of the water dragon Physignathus lesueurii in southeast Australia,Nest environment,Thermoregulation,2001,"Meek, R., Weir, E., Sutcliffe, G.",n,"Australian Botanical Gardens, Canberra, ACT",25.78,23.7,29.2,1.79,,,,-35.25,149.133333,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Intellagama,lesueurii,Intellagama_lesueurii,,,
