Species
chelonia mydas
caretta caretta
dermochelys coriacea
crocodylus acutus
lepidochelys olivacea
bassiana duperreyi
Sphenodon_punctatus
Eutropis_longicaudata
Crocodylus_johnsoni
Hemidactylium_scutatum
chrysemys_picta
chelydra_serpentina
caiman crocodilus chaipasius
eretmochelys imbricata
