Species
chelonia mydas
caretta caretta
rana luteiventris
dermochelys coriacea
clemmys guttata
brachylophus vitiensis
crocodylus acutus
lepidochelys olivacea
eretmochelys imbricata
bassiana duperreyi
emys obicularis
testudo graeca
chrysemys picta
chelydra serpentina
caiman crocodilus chaipasius
