nest_code,species,daily_avg_temp,daily_avg_temp_var,incubation_length_days,date_laid,date_start,date_hatch,date_end,treatment,female_tag,num_eggs,num_hatchlings,hatching_success
SNTU_248N_BG7,SNTU,22.75542472,10.04849853,85,15/Jun/11,17-Jun-11,13-Sep-11,12-Sep-11,BG4,248N,25,25,100
SNTU_249N_BG10,SNTU,24.09941516,11.6909352,80,15/Jun/11,17-Jun-11,8-Sep-11,7-Sep-11,BG10,249N,36,32,89
SNTU_725_BG8,SNTU,22.36476184,11.80245644,92,15/Jun/11,17-Jun-11,20-Sep-11,19-Sep-11,BG8,725,49,43,88
SNTU_733_AG11,SNTU,24.52148734,11.30855568,76,16/Jun/11,18-Jun-11,5-Sep-11,4-Sep-11,AG11,733,33,32,97
SNTU_797_AG8,SNTU,24.11510791,10.04221652,75,16/Jun/11,18-Jun-11,4-Sep-11,3-Sep-11,AG8,797,33,31,94
SNTU_887_AG7,SNTU,24.54963782,8.639939379,75,15/Jun/11,17-Jun-11,3-Sep-11,2-Sep-11,AG7,887,29,29,100
SNTU_936_AG13,SNTU,23.89975104,9.604839548,77,16/Jun/11,18-Jun-11,6-Sep-11,5-Sep-11,AG13,936,31,30,97
SNTU_942_C13,SNTU,24.92930647,10.54365446,73,18/Jun/11,20-Jun-11,4-Sep-11,3-Sep-11,C13,942,26,18,69
SNTU_951_C5,SNTU,24.12096414,8.634396044,76,16/Jun/11,18-Jun-11,5-Sep-11,4-Sep-11,C5,951,29,28,97
SNTU_952_AG12,SNTU,20.9631432,13.34706484,100,16/Jun/11,18-Jun-11,29-Sep-11,28-Sep-11,AG12,952,48,40,83
SNTU_A313_C9,SNTU,23.25799337,11.14358349,85,16/Jun/11,18-Jun-11,14-Sep-11,13-Sep-11,C9,A313,49,18,37
SNTU_A332_BG12,SNTU,24.9360974,10.45964995,74,15/Jun/11,17-Jun-11,2-Sep-11,1-Sep-11,BG12,A332,39,37,95
SNTU_A339_BG2,SNTU,24.70267181,13.17437733,78,10/Jun/11,12-Jun-11,1-Sep-11,31-Aug-11,BG2,A339,29,23,79
SNTU_B3_BG3,SNTU,21.08058905,13.72144891,99,11/Jun/11,13-Jun-11,23-Sep-11,22-Sep-11,BG3,B3,36,26,72
SNTU_G7_BG6,SNTU,23.58121629,11.22932765,86,13/Jun/11,15-Jun-11,12-Sep-11,11-Sep-11,BG6,G7,47,47,100
SNTU_K8_C10,SNTU,22.92541667,10.62381589,84,16/Jun/11,18-Jun-11,13-Sep-11,12-Sep-11,C10,K8,36,35,97
SNTU_N17_BG9,SNTU,23.29886373,8.672028364,82,15/Jun/11,17-Jun-11,10-Sep-11,9-Sep-11,BG9,N17,39,34,87
SNTU_N18_BG5,SNTU,24.05653835,12.18028814,85,12/Jun/11,14-Jun-11,10-Sep-11,9-Sep-11,BG5,N18,45,26,58
SNTU_Q10_C7,SNTU,20.83102288,15.29990985,99,17/Jun/11,19-Jun-11,28-Sep-11,27-Sep-11,C7,Q10,31,15,48
SNTU_Q11_AG1,SNTU,22.65623481,11.03528271,93,8/Jun/11,10-Jun-11,14-Sep-11,13-Sep-11,AG1,Q11,35,34,97
SNTU_Q14_C3,SNTU,21.49520088,12.53311742,92,16/Jun/11,18-Jun-11,21-Sep-11,20-Sep-11,Q14,Q14,35,35,100
SNTU_T4_AG5,SNTU,24.69998646,9.231786599,77,14/Jun/11,16-Jun-11,4-Sep-11,3-Sep-11,AG5,T4,34,32,94
SNTU_T8_C2,SNTU,23.49822549,9.143682413,82,9/Jun/11,11-Jun-11,4-Sep-11,3-Sep-11,C2,T8,37,33,89
SNTU_U9_C1,SNTU,23.99712258,13.08975366,83,8/Jun/11,10-Jun-11,4-Sep-11,3-Sep-11,C1,U9,44,39,89
SNTU_X5_C11,SNTU,23.11041246,14.03640181,96,18/Jun/11,20-Jun-11,27-Sep-11,26-Sep-11,C11,X5,47,15,32
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
