Species
alligator mississippiensis
amphibolurus muricatus
bassiana duperreyi
brachylophus vitiensis
caiman latirostris
caretta caretta
chelonia mydas
chelydra serpentina
chrysemys picta
clemmys guttata
crocodylus acutus
Crocodylus johnsoni
dermochelys coriacea
Actinemys marmorata
emys obicularis
eretmochelys imbricata
eutropis longicaudata
hemidactylium scutatum
lepidochelys olivacea
natator depressus
rana luteiventris
sphenodon punctatus
testudo graeca
